filenames,captions
Muhammad_during_the_Mi'raj_-_from_Jami_al-Tawarikh.jpg,"[[File:Muhammad_during_the_Mi'raj_-_from_Jami_al-Tawarikh.jpg|thumb|Muhammad beside al-Buraq, which holds a closed book in its hands while its tail appears to transform into an angel wielding a shield and a sword, is approached by two angels, one of whom holds a gold cup on a platter from ''[[Jami' al-Tawarikh]]'' (The Compendium of Chronicles), c. 1307. |alt=]]Although depictions of Muhammad are often forbidden, the few that exist often include images of angels. Specifically, the Archangel Gabriel is frequently shown alongside Muhammad.&lt;ref name=&quot;:2&quot;&gt;{{Cite book|title=Images of paradise in Islamic art|author=Blair, Sheila S.|date=1991|publisher=Hood Museum of Art, Dartmouth College|isbn=0944722083|oclc=611668403}}&lt;/ref&gt; For example, in ''The Timurid Book of the Prophet Muhammad’s Ascension'', the Archangel Gabriel appears to Muhammad in Mecca to announce his ascension.&lt;ref name=&quot;:3&quot;&gt;Gruber, Christiane J. (2008). ''The Timurid &quot;Book of Ascension&quot; (Micrajnama): A Study of the Text and Image in a Pan-Asian Context''. Patrimonia. p. 254&lt;/ref&gt; Kneeling before Muhammad, Gabriel is shown with colorful wings and a crown. Later in ''The Timurid Book,'' Muhammad is shown with Gabriel meeting a group of angels in heaven. In the ''Jami' al-tawarikh'', a Persian history from the 14th century, Muhammad is depicted beside al-Buraq, whose tail is transformed into an angel, while two other angels approach.&lt;ref name=&quot;:3&quot; /&gt; A 16th-century Ottoman manuscript of ''[[Siyer-i Nebi]]'', a Turkish epic about the life of Muhammad, also includes many depictions of Muhammad alongside angels.&lt;ref name=&quot;:2&quot; /&gt;"
Alopex lagopus IMG 9019.JPG,[[File:Alopex lagopus IMG 9019.JPG|thumb|left|A sleeping Arctic fox with its fluffy tail wrapped around itself and over its face]]
Fox pups animals.jpg,[[File:Fox pups animals.jpg|thumb|Pups of Arctic fox with summer morph]]
Fox with fish.jpg,[[File:Fox with fish.jpg|thumb|An Arctic fox (summer morph) with [[salmon]]]]
Arctic fox lying in grass - DPLA - 6bbdf7a6ee8c38192bcfad0a6f6dab84.jpg,[[File:Arctic fox lying in grass - DPLA - 6bbdf7a6ee8c38192bcfad0a6f6dab84.jpg|left|thumb|Arctic fox lying in grass. A fox's thick winter coat helps keep its body temperature near {{cvt|100|F|order=flip}}. Foxes also have fur on the soles of their feet and reduced blood flow to their legs to help keep them warm.]]
Blue fox on St Paul Island by Ryan Mong USFWS.jpg,"[[File:Blue fox on St Paul Island by Ryan Mong USFWS.jpg|thumb|Blue phase, Pribilof Islands]]"
Lagopusskull.jpg,"[[File:Lagopusskull.jpg|thumb|left|Drawing of skull by [[St. George Mivart]], 1890]]"
Alopex lagopus 05 MWNH 289.JPG,[[File:Alopex lagopus 05 MWNH 289.JPG|thumb|Skull]]
Plymouth Rock Monument cropped.JPG,[[File:Plymouth Rock Monument cropped.JPG|right|thumb|Plymouth Rock Monument designed for the Tercentenary (1920)]]
Betsy Ross sewing.jpg,[[File:Betsy Ross sewing.jpg|thumb|Betsy Ross sewing]]
MOLLY PITCHER. (Ten American Girls from History 1917).jpg,[[File:MOLLY PITCHER. (Ten American Girls from History 1917).jpg|thumb|upright|MOLLY PITCHER. (Ten American Girls from History 1917)]]
Nj devil notgreyscale.png,"* [[Jersey Devil|The Jersey Devil]] is a legendary creature said to inhabit the [[New Jersey Pine Barrens]] of [[South Jersey|Southern New Jersey]] in the United States. The creature is often described as a flying biped with hooves, but there are many different variations. The most common description is that of a kangaroo-like creature with the face of a horse, the head of a dog, leathery bat-like wings, horns, small arms with clawed hands, red eyes, cloven hooves and a forked tail. It has been reported to move quickly, as to avoid human contact, and often is described as emitting a &quot;blood-curdling scream&quot;.&lt;ref name=mccloy&gt;''The Jersey Devil'', by James F. McCloy and Ray Miller Jr., Middle Atlantic Press. {{ISBN|0-912608-11-0}}&lt;/ref&gt;&lt;ref&gt;{{cite web |url=http://www.pinelandsalliance.org/history/devil/ |title=The Jersey Devil &amp; Pine Barrens Folklore – New Jersey Pine Barrens |publisher= Pinelands Preservation Alliance|access-date=2014-01-04 |archive-url=https://web.archive.org/web/20131204044250/http://www.pinelandsalliance.org/history/devil/ |archive-date=2013-12-04 |url-status=dead }}&lt;/ref&gt; The legend goes as such: a woman named Mother Leeds gave birth to her 13th child on a dark, stormy night. Mother Leed is said to be a witch and her 13th child was born the Devil. It soon grew wings and hooves, killed the midwife, and took off into the night.[[File:Nj devil notgreyscale.png|thumb|The Jersey Devil]]"
Empirestatebuildingfrombrooklynnewyork.jpg,[[File:Empirestatebuildingfrombrooklynnewyork.jpg|thumb|upright|The Empire State Building]]
SMACx-DiploScreenshot1.jpg,"[[File:SMACx-DiploScreenshot1.jpg|thumb|alt=Horizontal rectangle video game screenshot that depicts a digital representation of an alien planet. In the foreground is a series of smaller screens that cover the majority of the image. The smaller screens have black backgrounds and display information about the game's current state as well as options to alter that state. In the background is a reddish-brown planetscape viewed from an isometric perspective. The planet is inhabited by small structures and life forms.|''Alpha Centauri'' and ''Alien Crossfire'' feature similar gameplay. Diplomatic actions are handled in pop-up windows, while combat and unit movement are handled on the isometric field shown in the background. Information such as unit health and status changes are displayed on the black field across the bottom.]]"
"Jainal Antel Sali, Jr.jpg","[[File:Jainal Antel Sali, Jr.jpg|thumb|left|Photograph of [[Jainal Antel Sali Jr.]] in 2006. Sali was later killed during a heavy gunfight with the Philippine authorities in 2007.&lt;ref&gt;{{cite news |author=Gomez |first=Jim |date=January 17, 2007 |title=Philippines says militant's death a blow |publisher=Yahoo! News |agency=[[Associated Press]] |url=https://news.yahoo.com/s/ap/20070117/ap_on_re_as/philippines_abu_sayyaf |archive-url=https://web.archive.org/web/20070118204619/http://news.yahoo.com/s/ap/20070117/ap_on_re_as/philippines_abu_sayyaf |archive-date=January 18, 2007}}&lt;/ref&gt;]]"
Terhapilon2000.jpg,"[[File:Terhapilon2000.jpg|thumb|right|[[Isnilon Totoni Hapilon]], one of the [[FBI Most Wanted Terrorists]], was an Abu Sayyaf member until he was killed by the [[Philippine Army]] during the [[battle of Marawi]]&lt;ref&gt;{{cite book |last=Banlaoi |first=Rommel |url=https://www.worldcat.org/oclc/1126644229 |title=Marawi Siege and Its Aftermath: The Continuing Terrorist Threats |date=November 2019 |publisher=Cambridge Scholars Publisher |isbn=978-1527538245 |oclc=1126644229}}&lt;/ref&gt; on October 16, 2017.&lt;ref&gt;{{Cite news|url=https://www.bbc.com/news/world-asia-41632434|title=Philippines military 'kills Islamist Isnilon Hapilon'|work=BBC News|date=October 16, 2017|access-date=October 17, 2017}}&lt;/ref&gt;]]"
Warren R Rodwell.jpg,[[File:Warren R Rodwell.jpg|thumb|right|Survivor Warren Rodwell (2010) prior to abduction by Abu Sayyaf]]
Rodrigo Duterte welcomes Kjartan Sekkingstad.jpg,"[[File:Rodrigo Duterte welcomes Kjartan Sekkingstad.jpg|thumb|Kjartan Sekkingstad (left), one of the people kidnapped by the ASG in Samal Island in 2015, meets with President [[Rodrigo Duterte]] (right) after his release from ASG captivity.]]"
Hy-1-ին տիպի շաքարային դիաբետ (Diabetes mellitus type 1).ogg,[[File:Hy-1-ին տիպի շաքարային դիաբետ (Diabetes mellitus type 1).ogg|thumb|Spoken Eastern Armenian]]
"Armenian dialects, Adjarian 1909.png","[[File:Armenian dialects, Adjarian 1909.png|thumb|upright=1.6|Map of the [[Historical dialects of Armenian|Armenian dialects in early 20th century]]:"
WIKITONGUES- John speaking Armenian.webm,[[File:WIKITONGUES- John speaking Armenian.webm|thumb|A man speaking in Western Armenian]]
Keyboard Layout Armenian.png,[[File:Keyboard Layout Armenian.png|thumb|Armenian [[keyboard layout]] using the [[Armenian alphabet]].]]
Additive synthesis.svg,[[File:Additive synthesis.svg|250px|thumb|right|Schematic diagram of additive synthesis. The inputs to the oscillators are frequencies &lt;math&gt;f_k&lt;/math&gt; and amplitudes &lt;math&gt;r_k&lt;/math&gt;.]]
Harmonic additive synthesis spectrum.png,| [[File:Harmonic additive synthesis spectrum.png|280px]]
Harmonic additive synthesis.ogg,[[File:Harmonic additive synthesis.ogg|noicon|150px]]
Inharmonic additive synthesis spectrum.png,| [[File:Inharmonic additive synthesis spectrum.png|280px]]
Inharmonic additive synthesis.ogg,[[File:Inharmonic additive synthesis.ogg|noicon|150px]]
Fleet 5 nations.jpg,"[[File:Fleet 5 nations.jpg|thumb|upright=1.35|Four modern aircraft carriers of various types—{{USS|John C. Stennis|CVN-74|6}}, [[French aircraft carrier Charles de Gaulle|''Charles de Gaulle'' (French Navy)]], {{USS|John F. Kennedy|CV-67|6}}, helicopter carrier {{HMS|Ocean|L12|6}}—and escort vessels, 2002]]"
World Navy Aircraft carries chart.svg,[[File:World Navy Aircraft carries chart.svg|thumb|right|upright=1.25|Chart comparing a selection of aircraft carriers (sorted by length)]]
Aircraft carrier comparison.jpg,[[File:Aircraft carrier comparison.jpg|thumb|right|upright=1.25|Comparison of aircraft carriers|alt= An aircraft carrier comparison]]
"US Navy 060427-N-5961C-009 USS Ronald Reagan (CVN 76),FS Charles De Gaulle (R-92),FS Cassard (D-614), guided missile cruiser USS Vicksburg (CG 69), USS McCampbell (DDG 85) conduct joint operations in the Persian Gulf.jpg","[[File:US Navy 060427-N-5961C-009 USS Ronald Reagan (CVN 76),FS Charles De Gaulle (R-92),FS Cassard (D-614), guided missile cruiser USS Vicksburg (CG 69), USS McCampbell (DDG 85) conduct joint operations in the Persian Gulf.jpg|thumb|French aircraft carrier {{Ship|French aircraft carrier|Charles de Gaulle||2}} (rear), and US Navy carrier {{USS|Ronald Reagan|CVN-76|6}} conducting joint operations in the Persian Gulf; both with the [[CATOBAR]] configuration.]]"
USS Abraham Lincoln (CVN-72) underway in the Atlantic Ocean on 30 January 2019 (190130-N-PW716-1312).JPG,"[[File:USS Abraham Lincoln (CVN-72) underway in the Atlantic Ocean on 30 January 2019 (190130-N-PW716-1312).JPG|thumb|{{USS|Abraham Lincoln|CVN-72}} a [[United States Navy]] fleet carrier, also often referred to as a supercarrier, seen here underway in 2019 crossing the Atlantic.]]"
HMS Queen Elizabeth in Gibraltar - 2018 (28386226189).jpg,"[[File:HMS Queen Elizabeth in Gibraltar - 2018 (28386226189).jpg|thumb|Aircraft Carriers in the [[STOVL]] configuration are in service with Italy, Spain, Thailand and the United Kingdom.]]"
HMS Ark Royal h85716.jpg,"[[File:HMS Ark Royal h85716.jpg|thumb|right|The Royal Navy's [[HMS Ark Royal (91)|HMS ''Ark Royal'']] in 1939, with [[Fairey Swordfish|Swordfish]] biplane bombers passing overhead. The British aircraft carrier was involved in the crippling of the German battleship [[German battleship Bismarck|''Bismarck'']] in May 1941]]"
Wakamiya.jpg,[[File:Wakamiya.jpg|thumb|right|The {{ship|Japanese seaplane carrier|Wakamiya||2|up=yes}} conducted the world's first naval-launched air raids in 1914.]]
"USS Enterprise (CV-6) in Puget Sound, September 1945.jpg","[[File:USS Enterprise (CV-6) in Puget Sound, September 1945.jpg|thumb|{{USS|Enterprise|CV-6|6}}, the [[Most decorated US ships of World War II|most decorated US warship of World War II]]]]"
Japanese aircraft carrier Shinano.jpg,"[[File:Japanese aircraft carrier Shinano.jpg|thumb|right|The Japanese carrier [[Japanese aircraft carrier Shinano|''Shinano'']] was the biggest carrier in World War II, and the largest ship sunk by a submarine.&lt;ref&gt;Enright &amp; Ryan, p. xiv&lt;/ref&gt;]]"
Arromanches (R95) with Hellcat landing c1953.jpg,"[[File:Arromanches (R95) with Hellcat landing c1953.jpg|alt=|thumb|An [[Grumman F6F Hellcat|F6F-5]] landing on the French ''[[French aircraft carrier Arromanches (R95)|Arromanches]]'' in the [[Tonkin Gulf]], 1953.]]"
USS Tripoli LPH10 a.jpg,"[[File:USS Tripoli LPH10 a.jpg|thumb|USS ''Tripoli'', a [[United States Navy|U.S. Navy]] ''Iwo Jima''-class helicopter carrier]]"
USS Enterprise (CVN-65) underway in the Atlantic Ocean on 14 June 2004 (040614-N-0119G-020).jpg,"[[File:USS Enterprise (CVN-65) underway in the Atlantic Ocean on 14 June 2004 (040614-N-0119G-020).jpg|thumb|{{USS|Enterprise|CVN-65}}, the world's first nuclear-powered carrier, commissioned in 1961]]"
USS Forrestal explosion 29 July 1967.jpg,[[File:USS Forrestal explosion 29 July 1967.jpg|thumb|Fire on board ''Forrestal'' in 1976.]]
DeHavilland Vampire HMS Ocean Dec1945 NAN1 47.jpg,[[File:DeHavilland Vampire HMS Ocean Dec1945 NAN1 47.jpg|thumb|The first carrier landing and take-off of a jet aircraft: [[Eric &quot;Winkle&quot; Brown]] landing on {{HMS|Ocean|R68|6}} in 1945.]]
US Navy 081124-N-3659B-305 F-A-18C Hornets launch from the Nimitz-class aircraft carrier USS Ronald Reagan (CVN 76).jpg,[[File:US Navy 081124-N-3659B-305 F-A-18C Hornets launch from the Nimitz-class aircraft carrier USS Ronald Reagan (CVN 76).jpg|thumb|[[Aircraft catapult|Catapult]] launches aboard {{USS|Ronald Reagan}}]]
F-18 - A 3-wire landing.ogv,[[File:F-18 - A 3-wire landing.ogv|thumb|left|F/A-18 Hornet aircraft landing video]]
US Navy 100512-N-8446A-004 An F-A-18F Super Hornet assigned to the Fighting Checkmates of Strike Fighter Squadron (VFA) 211 lands aboard the aircraft carrier USS Enterprise (CVN 65).jpg,[[File:US Navy 100512-N-8446A-004 An F-A-18F Super Hornet assigned to the Fighting Checkmates of Strike Fighter Squadron (VFA) 211 lands aboard the aircraft carrier USS Enterprise (CVN 65).jpg|thumb|Island control structure of {{USS|Enterprise|CVN-65|6}}]]
FS CDG bridge3.jpg,[[File:FS CDG bridge3.jpg|alt=|thumb|The command bridge of the aircraft carrier {{ship|French aircraft carrier|Charles de Gaulle||2}}]]
HMAS Canberra (LHD 02) at berth prior to commissioning.jpg,"[[File:HMAS Canberra (LHD 02) at berth prior to commissioning.jpg|thumb|{{HMAS|Canberra|L02|6}}, a {{sclass|Canberra|landing helicopter dock|1}}]]"
Type 002 aircraft carrier of People's Liberation Army Navy (cropped).jpg,"[[File:Type 002 aircraft carrier of People's Liberation Army Navy (cropped).jpg|thumb|{{ship|Chinese aircraft carrier|Shandong||2}}, a [[Kuznetsov-class aircraft carrier|Type 002 aircraft carrier]]]]"
French aircraft carrier Charles de Gaulle (R91) underway in the Red Sea on 15 April 2019 (190415-N-IL409-0017).JPG,[[File:French aircraft carrier Charles de Gaulle (R91) underway in the Red Sea on 15 April 2019 (190415-N-IL409-0017).JPG|thumb|right|The aircraft carrier {{ship|French aircraft carrier|Charles de Gaulle||2}} of the [[French Navy]]]]
IAC1 Vikrant during sea trials (cropped).png,[[File:IAC1 Vikrant during sea trials (cropped).png|thumb|{{INS|Vikrant|2013|6}} (IAC-1) at sea during her maiden [[sea trials]]]]
Italian aircraft carrier Cavour.jpg,[[File:Italian aircraft carrier Cavour.jpg|thumb|Italian aircraft carrier ''Cavour'' (550)]]
DDH-183 (cropped).jpg,[[File:DDH-183 (cropped).jpg|thumb|Helicopter carrier [[JS Izumo|''Izumo'' (DDH-183)]] at sea]]
Russian aircraft carrier Kuznetsov.jpg,[[File:Russian aircraft carrier Kuznetsov.jpg|thumb|{{ship|Russian aircraft carrier|Admiral Kuznetsov}}]]
Model of HHI proposal for CVX project.jpg,[[File:Model of HHI proposal for CVX project.jpg|thumb|Conceptual model of [[CVX-class aircraft carrier]]]]
El L-61 virando a babor en su partida de Vigo (34939349652).jpg,[[File:El L-61 virando a babor en su partida de Vigo (34939349652).jpg|thumb|Spanish ''Juan Carlos I'' with [[McDonnell Douglas AV-8B Harrier II|Harrier II]]]]
DN-SD-03-08801-1-.JPG,[[File:DN-SD-03-08801-1-.JPG|thumb|right|The aircraft carrier {{ship|HTMS|Chakri Naruebet}} of the [[Royal Thai Navy]]]]
Turkish Navy amphibious assault ship TCG Anadolu (L400) steams in the Mediterranean Sea.jpg,"[[File:Turkish Navy amphibious assault ship TCG Anadolu (L400) steams in the Mediterranean Sea.jpg|thumb|[[TCG Anadolu|TCG ''Anadolu'' (L-400)]] during an exercise in the [[Mediterranean Sea]], 21 August 2023]]"
Merlin Mk2s arriving on HMS Queen Elizabeth ahead of CSG21.jpg,[[File:Merlin Mk2s arriving on HMS Queen Elizabeth ahead of CSG21.jpg|thumb|A [[AgustaWestland AW101|Merlin HM2]] [[Airborne early warning and control|AEW]] on {{HMS|Queen Elizabeth|R08|6}}'s [[flight deck]].]]
USS Enterprise (CVN-80) artist depiction.jpg,"[[File:USS Enterprise (CVN-80) artist depiction.jpg|thumb|{{USS|Enterprise|CVN-80}}, the third US Navy carrier to bear the name, is a ''Gerald R. Ford''-class carrier currently under construction and expected to enter service in 2028. (artist's impression)]]"
2023 Apicomplexan.svg,[[File:2023 Apicomplexan.svg|thumb|Apicomplexan structure&lt;ref&gt;{{Cite Q|Q123558544|doi-access=free}}&lt;/ref&gt;]]
"Ookinete, sporozoite, merozoite.png","[[File:Ookinete, sporozoite, merozoite.png|thumb|Some cell types: ookinete, sporozoite, merozoite]]"
Septate gregarine.jpg,[[File:Septate gregarine.jpg|thumb|right|100px|Trophozoite of a gregarine]]
Toxoplasma gondii.jpg,[[File:Toxoplasma gondii.jpg|thumb|150px|Dividing ''[[Toxoplasma gondii]]'' (Coccidia) parasites]]
Immature and mature trophozoites of the Plasmodium vivax parasite PHIL 2720 lores.jpg,[[File:Immature and mature trophozoites of the Plasmodium vivax parasite PHIL 2720 lores.jpg|thumb|150px|upright=1.3|Trophozoites of the ''[[Plasmodium vivax]]'' (Haemosporidia) parasite among human red blood cells]]
Parasite140105-fig3 Toxoplasmosis in a bar-shouldered dove - TEM of 2 tachyzoites.tif,"[[File:Parasite140105-fig3 Toxoplasmosis in a bar-shouldered dove - TEM of 2 tachyzoites.tif|thumb|Two tachyzoites of ''[[Toxoplasma gondii]]'', transmission electron microscopy]]"
Apicomplexa tree..png,[[File:Apicomplexa tree..png|thumb|right|300px]]
Argentinean asado.jpg,[[File:Argentinean asado.jpg|thumb|Typical Argentine [[asado]] (grill).]]
Dulce de leche 2007.jpg,"[[File:Dulce de leche 2007.jpg|thumb|''[[Dulce de leche]]'', a popular national spread used to fill cakes and pancakes, eaten over toast, and as an ice-cream flavour]]"
Empanadas salteñas 1.jpg,[[File:Empanadas salteñas 1.jpg|thumb|left|Boxed [[Empanada|''empanadas'']]]]
Pizzas Buenos Aires.png,[[File:Pizzas Buenos Aires.png|thumb|left|Typical pizzeria from Buenos Aires]]
Puchero argentino servido.JPG,[[File:Puchero argentino servido.JPG|thumb|Argentine [[puchero]]]]
Alfajores de Argentina.jpg,"[[File:Alfajores de Argentina.jpg|thumb|235px|Argentine pastry, including ''Rogel'' (a cake of layers of [[hojaldre]] covered with [[meringue]]), [[dulce de leche]], and regional variants of [[Alfajores]] (from [[Mar del Plata]], [[Córdoba Province, Argentina|Córdoba]], [[Tucumán Province|Tucumán]], among others).]]"
Locro argentino.JPG,"[[File:Locro argentino.JPG|thumb|left|210px|A bowl of ''[[Locro]]'' stew, a traditional standby in northwestern Argentina.]]"
Kaa mate.JPG,"[[File:Kaa mate.JPG|thumb|210px|[[Mate (beverage)|Mate]], the [[Mesopotamia, Argentina|northeastern region]]'s best-known contribution to Argentine cuisine.]]"
Tortas en San Martín de los Andes.JPG,"[[File:Tortas en San Martín de los Andes.JPG|thumb|210px|''Chocolate y [[dulce de leche]]'' cakes and other regional favorites in a [[San Martín de los Andes]], [[Neuquen Province|Neuquén]] shop.]]"
Tortoni 3 008.jpg,"[[File:Tortoni 3 008.jpg|thumb|[[Café Tortoni]], one of the many [[coffeehouse]]s in [[Buenos Aires]]. The consumption of coffee is very common (141 cups per capita, annually).&lt;ref name=autogenerated1&gt;{{cite web|url=http://blog.federicosanchez.info/2002/07/20/%C2%BFel-negocio-del-cafe-en-argentina-puede-seguir-creciendo/|title=El negocio del café en la Argentina|website=Blog.federicosanchez.info|access-date=2 August 2017}}{{Dead link|date=December 2018 |bot=InternetArchiveBot |fix-attempted=yes }}&lt;/ref&gt;]]"
"Mediaslunas, café en jarrito y agua mineral en Café El Gato Negro.JPG","[[File:Mediaslunas, café en jarrito y agua mineral en Café El Gato Negro.JPG|thumbnail|right|Traditional serving of merienda in Café El Gato Negro, [[Buenos Aires]]. ''Medialunas'' (croissants), ''café en jarrito'' (a double espresso coffee) and a little glass of mineral water.]]"
BarBritanico.JPG,"[[File:BarBritanico.JPG|thumb|210px|''Bar Británico'', Buenos Aires. These &quot;bars&quot; are typically more akin to [[Culture of the United Kingdom|British]] &quot;[[pub]]s&quot; and are popular at lunchtime.]]"
Aristotle Altemps Inv8575.jpg,[[File:Aristotle Altemps Inv8575.jpg|thumb|Aristotle (384–322 BC) is credited with raising the distinction between personal and logical arguments.{{sfnm|1a1=Walton|1y=2001|1p=208|2a1=Tindale|2y=2007|2p=82}}]]
Graham's Hierarchy of Disagreement.svg,[[File:Graham's Hierarchy of Disagreement.svg|440px|thumb|Abusive ''Ad hominem'' lies near the bottom end of [[Graham's Hierarchy of Disagreement]].]]
Binary search vs Linear search example svg.svg,"[[File:Binary search vs Linear search example svg.svg|thumb|For looking up a given entry in a given ordered list, both the [[binary search algorithm|binary]] and the [[linear search]] algorithm (which ignores ordering) can be used. The analysis of the former and the latter algorithm shows that it takes at most {{math|log&lt;sub&gt;2&lt;/sub&gt; ''n''}} and {{mvar|''n''}} check steps, respectively, for a list of size {{mvar|''n''}}. In the depicted example list of size 33, searching for ''&quot;Morin, Arthur&quot;'' takes 5 and 28 steps with binary (shown in {{color|#008080|cyan}}) and linear ({{color|#800080|magenta}}) search, respectively.]]"
comparison_computational_complexity.svg,"[[File:comparison_computational_complexity.svg|thumb|Graphs of functions commonly used in the analysis of algorithms, showing the number of operations {{mvar|''N''}} versus input size {{mvar|''n''}} for each function]]"
TeleGames-Atari-Pong.jpg,[[File:TeleGames-Atari-Pong.jpg|thumb|Atari-Telegames Home Pong (1975)]]
Atari-2600-Wood-4Sw-Set.jpg,"[[File:Atari-2600-Wood-4Sw-Set.jpg|thumb|The third version of the [[Atari 2600]], which was sold from 1979 to 1986]]"
Atari-5200-4-Port-wController-L.jpg,[[File:Atari-5200-4-Port-wController-L.jpg|thumb|[[Atari 5200]] (1982)]]
Atari-7800-Console-Set.jpg,[[File:Atari-7800-Console-Set.jpg|right|thumb|[[Atari 7800]] (1986)]]
Atari-Portfolio-Computer.jpg,[[File:Atari-Portfolio-Computer.jpg|thumb|[[Atari Portfolio]] (1989)]]
Atari-Lynx-I-Handheld.jpg,[[File:Atari-Lynx-I-Handheld.jpg|thumb|[[Atari Lynx]] (1989)]]
Atari Logo2.svg,[[File:Atari Logo2.svg|thumb|Atari logo used by Atari SA from 2003 to 2009]]
Atari Flashback 2.jpg,[[File:Atari Flashback 2.jpg|thumb|[[Atari Flashback 2]]]]
Afghanistan Ethnolinguistic Groups 1982.jpg,[[File:Afghanistan Ethnolinguistic Groups 1982.jpg|thumb|Ethnolinguistic groups in Afghanistan and its surroundings (1982).]]
Blue Mosque in the northern Afghan city in 2012.jpg,"[[File:Blue Mosque in the northern Afghan city in 2012.jpg|thumb|The [[Hazrat Ali Mazar|Masjid-e-Kabud]], popularly known as the ''Blue Mosque'', in [[Mazar-i-Sharif]], [[Balkh Province]], [[Afghanistan]], April 3, 2012.]]"
EmmersonHall.jpg,"[[Andrew R. Cobb]] designed several campus buildings including: Raynor Hall Residence, 1916; and Horton House,&lt;ref&gt;{{Cite web |title=Horton Hall |url=http://virtualtour.acadiau.ca/horton-hall.html |archive-url=https://web.archive.org/web/20141026194247/http://virtualtour.acadiau.ca/horton-hall.html |archive-date=Oct 26, 2014 |website=Acadia University Virtual Tour}}&lt;/ref&gt; designed by Cobb in the Georgian style, and built by James Reid of [[Yarmouth, Nova Scotia]], which was opened in 1915 as Horton Academy. Today, Horton Hall is the home of the Department of Psychology and Research and Graduate Studies.  In 1967 Emmerson Hall was converted to classrooms and offices for the School of Education. It is a registered Heritage Property.&lt;ref&gt;{{cite encyclopedia |editor-first=Robert G. |editor-last=Hill |title=Taylor, Sir Andrew Thomas |encyclopedia=Biographical Dictionary of Architects in Canada 1800-1950 |url=http://www.dictionaryofarchitectsincanada.org/architects/view/1349 |access-date=21 September 2015 |archive-url=https://web.archive.org/web/20150203133240/http://www.dictionaryofarchitectsincanada.org/architects/view/1349 |archive-date=3 February 2015 |url-status=dead}}&lt;/ref&gt; [[File:EmmersonHall.jpg|thumb|Emmerson Hall, Acadia University, was originally built 1913 as Emerson Memorial Library and shows strong Beaux Arts influences. It was erected to honour the memory of the Reverend R. H. Emmerson (1826–1857), father of the former premier of New Brunswick, [[Henry Emmerson|H. R. Emmerson]].]]"
Range guitar.svg,|range=[[File:Range guitar.svg|130px|center]]
Playing acoustic guitar.jpg,[[File:Playing acoustic guitar.jpg|thumb|right|200px|[[Fingerpicking]] a steel-string guitar]]
C.F._Martin_000-28EC_Eric_Clapton_model_Acoustic_Guitar.jpg,[[File:C.F._Martin_000-28EC_Eric_Clapton_model_Acoustic_Guitar.jpg|thumb|right|150px|A [[C. F. Martin &amp; Company|C.F. Martin]] [[Eric Clapton]] model]]
Fender DG-41SCE Electro-acoustic guitar.JPG,[[File:Fender DG-41SCE Electro-acoustic guitar.JPG|thumb|right|170px|[[Fender Musical Instruments Corporation|Fender]] DG-41SCE]]
Epiphone PR-5E VS Cutaway Acoustic Electric Guitar (Vintage Sunburst).jpg,[[File:Epiphone PR-5E VS Cutaway Acoustic Electric Guitar (Vintage Sunburst).jpg|thumb|right|170px|[[Epiphone]] PR-5E VS]]
Grabmaljohannes13.jpg,[[File:Grabmaljohannes13.jpg|thumb|right|130px|[[Tomb of Antipope John XXIII]].]]
"Palmira, regina di Persia.jpg","[[File:Palmira, regina di Persia.jpg|thumb|300px|The beginning of Salieri's opera ''Palmira, regina di Persia'']]"
Road to Blomidon Provincial Park.jpg,"[[File:Road to Blomidon Provincial Park.jpg|thumb|Eastern End, with the Minas Basin to the right]]"
"The Lookoff, North Mountain, Nova Scotia, Canada.jpg","[[File:The Lookoff, North Mountain, Nova Scotia, Canada.jpg|thumb|Eastern end looking southeast across Annapolis Valley from &quot;The Lookoff&quot;, North Mountain]]"
"Clarence, Annapolis Valley, Nova Scotia.jpg","[[File:Clarence, Annapolis Valley, Nova Scotia.jpg|thumb|left|Central Valley, looking west southwest across farms in Clarence]]"
Annapolis Valley overlooking Bridgetown.jpg,"[[File:Annapolis Valley overlooking Bridgetown.jpg|thumb|Western Valley, overlooking narrowest part of Annapolis Valley towards Bridgetown]]"
View from the South Mountain (Gaspereau) looking at Cape Blomidon and the North Mountain across the Valley.jpg,"[[File:View from the South Mountain (Gaspereau) looking at Cape Blomidon and the North Mountain across the Valley.jpg|thumb|Eastern end, overlooking Wolfville, Nova Scotia]]"
Port Royal today.jpg,"[[File:Port Royal today.jpg|thumb|Western end, at [[Port-Royal National Historic Site|Port-Royal habitation]], where Annapolis River widens to form the Annapolis Basin]]"
"Grafton, Nova Scotia.JPG","[[File:Grafton, Nova Scotia.JPG|thumb|Corn at [[Grafton, Nova Scotia|Grafton]]]]"
"Lawrencetown, Nova Scotia.jpg","[[File:Lawrencetown, Nova Scotia.jpg|thumb|Lawrencetown Exhibition]]"
Tylenol.jpg,[[File:Tylenol.jpg|thumb|left|A bottle of [[acetaminophen]]|182x182px]]
Sunflowers in fields.jpg,[[File:Sunflowers in fields.jpg|thumb|Sunflowers are hyperaccumulator plants that can absorb large amount of metal.]]
Peter_as_Pope_.png,[[File:Peter_as_Pope_.png|thumb|180px|Saint Peter portrayed as a Pope in the ''[[Nuremberg Chronicle]]'']]
Priestly ordination.jpg,[[File:Priestly ordination.jpg|thumb|Catholic ordination ceremony]]
